session_id,split,segment_start_frame,segment_end_frame,label,notes
20250828132109,train,,,,
20250829114053,train,,,,
20250829124537,train,,,,
20250829124707,train,,,,
20250829130046,train,,,,
20250829142148,train,,,,
20250829144220,train,,,,
20250829151050,train,,,,
20250829153125,train,,,,
20250829153901,train,,,,
20250829154056,train,,,,
20250829154458,train,,,,
20250829160009,train,,,,
20250829163902,train,,,,
20250829165457,train,,,,
20250829165805,train,,,,
20250829170007,train,,,,
20250829172221,train,,,,
20250829200212,train,,,,
20250829200558,train,,,,
20250829204123,train,,,,
20250830085828,train,,,,
20250830090627,train,,,,
20250830091510,train,,,,
20250830092842,train,,,,
20250830095335,train,,,,
20250830100734,train,,,,
20250830104629,train,,,,
20250830112523,train,,,,
20250830124013,train,,,,
20250830135410,train,,,,
20250830135801,train,,,,
20250830143655,train,,,,
20250830150740,train,,,,
20250830151548,train,,,,
20250830153308,train,,,,
20250830154709,train,,,,
20250830155442,train,,,,
20250830161002,train,,,,
20250830163336,train,,,,
20250830163747,train,,,,
20250830163958,train,,,,
20250830171028,train,,,,
20250830175030,train,,,,
20250830175749,train,,,,
20250830181408,train,,,,
20250830183643,train,,,,
20250830183801,train,,,,
20250831085435,train,,,,
20250831090029,train,,,,
20250831091047,train,,,,
20250901143013,train,,,,
20250901144037,train,,,,
20250901154048,train,,,,
20250901160353,train,,,,
20250901161144,train,,,,
20250901174620,train,,,,
20250901175639,train,,,,
20250901180324,train,,,,
20250901181138,train,,,,
20250901181219,train,,,,
20250901183211,train,,,,
20250901184408,train,,,,
20250901184521,train,,,,
20250901185044,train,,,,
20250902084217,train,,,,
20250902085746,train,,,,
20250902091104,train,,,,
20250902091305,train,,,,
20250902092342,train,,,,
20250902093055,train,,,,
20250902093918,train,,,,
20250902094509,train,,,,
20250902094543,train,,,,
20250902102343,train,,,,
20250902104210,train,,,,
20250902104325,train,,,,
20250902104820,train,,,,
20250902105116,train,,,,
20250902105604,train,,,,
20250902110141,train,,,,
20250902110507,train,,,,
20250902112139,train,,,,
20250902113554,train,,,,
20250902132214,train,,,,
20250902132624,train,,,,
20250902135052,train,,,,
20250902135904,train,,,,
20250902140211,train,,,,
20250902140916,train,,,,
20250902143059,train,,,,
20250902144907,train,,,,
20250902145002,train,,,,
20250902145037,train,,,,
20250902145636,train,,,,
20250902150955,train,,,,
20250902153312,train,,,,
20250902153932,train,,,,
20250902154628,train,,,,
20250902155107,train,,,,
20250902164042,train,,,,
20250902164247,train,,,,
20250902171040,train,,,,
20250902173741,train,,,,
20250902180156,train,,,,
20250902183725,train,,,,
20250902190246,train,,,,
20250902190707,train,,,,
20250902191619,train,,,,
20250902194516,train,,,,
20250902195603,train,,,,
20250902200456,train,,,,
20250903085008,train,,,,
20250903085225,train,,,,
20250903143645,train,,,,
20250903144319,train,,,,
20250903153447,train,,,,
20250903175927,train,,,,
20250903180358,train,,,,
20250903183156,train,,,,
20250903190331,train,,,,
20250903192044,train,,,,
20250903193559,train,,,,
20250903195711,train,,,,
20250903202029,train,,,,
20250903203531,train,,,,
20250904084002,train,,,,
20250904100247,train,,,,
20250904100455,train,,,,
20250904103314,train,,,,
20250904142909,train,,,,
20250904144202,train,,,,
20250904162355,train,,,,
20250904163307,train,,,,
20250904172905,train,,,,
20250904173046,train,,,,
20250904185226,train,,,,
20250904185339,train,,,,
20250904195133,train,,,,
20250904195633,train,,,,
20250829112715,val,,,,
20250829132431,val,,,,
20250829132944,val,,,,
20250829140325,val,,,,
20250829183629,val,,,,
20250829202818,val,,,,
20250830085313,val,,,,
20250830104339,val,,,,
20250830130348,val,,,,
20250830131907,val,,,,
20250830162645,val,,,,
20250830171850,val,,,,
20250830172700,val,,,,
20250830173548,val,,,,
20250830175246,val,,,,
20250830182530,val,,,,
20250901144405,val,,,,
20250901144951,val,,,,
20250902090023,val,,,,
20250902090828,val,,,,
20250902133304,val,,,,
20250902134214,val,,,,
20250902144448,val,,,,
20250902180404,val,,,,
20250903142740,val,,,,
20250903155646,val,,,,
20250903193344,val,,,,
20250903194534,val,,,,
20250903203504,val,,,,
20250904142257,val,,,,
20250904153628,val,,,,
20250904154346,val,,,,
20250904165151,val,,,,
20250904172537,val,,,,
20250904192000,val,,,,
